id,question,query_type,difficulty,answerable,device_type,device_model,component,expected_answer_points,document_title,section_title,pdf_page_start,pdf_page_end,printed_page,evidence_excerpt,review_status,notes
Q001,火花塞电极间隙的标准范围是多少？,parameter,easy,yes,摩托车发动机,,火花塞,0.7～0.9 mm；使用塞尺测量；超出范围更换火花塞,摩托车发动机维修手册,1.2 检查火花塞,3,3,3,间隙标准值：0.7～0.9 mm,approved,
Q002,安装火花塞时应如何预紧，规定扭矩是多少？,procedure,easy,yes,摩托车发动机,,火花塞,顺时针转动3圈预紧后再转1/4圈；或使用定扭扳手拧紧至20±2 N·m；压紧高压帽,摩托车发动机维修手册,1.3 安装火花塞,3,3,3,顺时针转动3圈预紧，然后再转动1/4圈，或拧紧至20±2 N·m,approved,
Q003,测量发动机压缩压力前需要做哪些准备？,procedure,easy,yes,摩托车发动机,,气缸,启动发动机预热后熄火；清洁火花塞孔周围；拆卸火花塞；拆卸燃油喷射器；安装压力表,摩托车发动机维修手册,1.4 测量压缩压力,3,3,3,启动发动机预热几分钟；确保火花塞孔周围没有灰尘；安装压力表,approved,
Q004,1500转和540转时的标准压缩压力分别是多少？,parameter,easy,yes,摩托车发动机,,气缸,1500 r/min时1300～1900 kPa；540 r/min时500～900 kPa,摩托车发动机维修手册,1.4 测量压缩压力,3,3,3,1300～1900 kPa（1500 r/min）；500～900 kPa（540 r/min）,approved,
Q005,压缩压力低于标准值时，怎样区分活塞环问题和其他密封问题？,fault,medium,yes,摩托车发动机,,活塞环,向火花塞孔倒一勺机油后复测；压力升高说明活塞环磨损或损坏；压力不变则活塞、气门或气缸头垫片可能有缺陷,摩托车发动机维修手册,1.4 测量压缩压力,3,3,3,若压力比加机油前高则检查活塞环；若相等则检查活塞、气门和气缸头垫片,approved,
Q006,起动电机轴转动不灵活应该如何处理？,fault,easy,yes,摩托车发动机,,起动电机,安装前检查电机轴；若转动不灵活则更换起动电机,摩托车发动机维修手册,2.3 安装起动电机,5,5,5,检查起动电机轴是否转动灵活，若不灵活则更换起动电机,approved,
Q007,拆卸凸轮轴时，正时标记应该怎样对齐？,procedure,medium,yes,摩托车发动机,,凸轮轴,逆时针转动曲轴；磁电机转子T标记前刻线与螺塞孔缺口中线对齐；进排气凸轮轴正时链轮刻线与气缸头装配面平齐,摩托车发动机维修手册,4.3 凸轮轴,11,11,11,T标记前刻线与螺塞孔缺口中线对齐，正时链轮刻线与气缸头装配面平齐,approved,
Q008,检查凸轮轴时发现轴颈或凸轮表面磨损、腐蚀、划伤，应如何处理？,fault,easy,yes,摩托车发动机,,凸轮轴,分别检查进排气凸轮轴轴颈和凸轮基圆；存在磨损、腐蚀或划伤时更换相应凸轮轴,摩托车发动机维修手册,4.3 凸轮轴,12,12,12,若存在磨损、腐蚀或划伤，应更换相应凸轮轴,approved,
Q009,安装进气和排气凸轮轴的先后顺序是什么？,procedure,easy,yes,摩托车发动机,,凸轮轴,先安装排气凸轮轴；再安装进气凸轮轴；按对应位置安装座盖并对角均匀拧紧,摩托车发动机维修手册,4.3 凸轮轴,12,12,12,先安装排气凸轮轴，再安装进气凸轮轴,approved,
Q010,涨紧器安装完成后如何验证正时对齐？,procedure,medium,yes,摩托车发动机,,涨紧器,释放自锁使顶杆顶住涨紧条；顶销螺栓拧至12 N·m；转动曲轴两圈；T标记和正时链轮刻线均应对齐,摩托车发动机维修手册,4.4 涨紧器,13,13,13,转动曲轴两圈，使T标记与标记槽中线对齐，链轮刻线与装配面平齐,approved,
Q011,进气门和排气门的标准间隙分别是多少？,parameter,easy,yes,摩托车发动机,,气门,进气门0.13～0.20 mm；排气门0.20～0.30 mm；应在凸轮基圆位置测量,摩托车发动机维修手册,4.6 气门间隙,14,15,14-15,进气门0.13～0.20 mm，排气门0.20～0.30 mm,approved,
Q012,调整气门间隙时为什么不能混用挺柱和垫片？,safety,medium,yes,摩托车发动机,,气门,滑动挺柱、调整垫片和气门是一对一匹配；根据实测偏差更换对应厚度垫片；严禁混用,摩托车发动机维修手册,4.6 气门间隙,15,15,15,滑动挺柱、调整垫片与气门为一对一匹配，严禁混用,approved,
Q013,安装气缸头时M10螺母应按什么顺序和扭矩拧紧？,procedure,medium,yes,摩托车发动机,,气缸头,使用定扭扳手分三次对角拧紧；依次25、45、60 N·m；拧紧前螺纹处涂润滑油,摩托车发动机维修手册,4.7 气缸头,15,15,15,分三次对角拧紧：25 N·m、45 N·m、60 N·m,approved,
Q014,拆装四组气门时怎样避免混装？,safety,easy,yes,摩托车发动机,,气门,四组气门组件分别标记；确保装回原位；使用气门拆装器并注意双弹簧方向和顺序,摩托车发动机维修手册,4.8 气门,16,17,16-17,4组气门组件必须分别标记，确保装回原位,approved,
Q015,气缸内壁有明显刮痕、活塞环被卡住时应怎么处理？,fault,easy,yes,摩托车发动机,,气缸与活塞,气缸或活塞裙部明显刮伤时更换缺陷部件；三道活塞环卡住时更换活塞及活塞环,摩托车发动机维修手册,5.3 检查气缸与活塞,18,18,18,明显刮痕或损伤应更换缺陷部件；活塞环卡住则更换活塞及活塞环,approved,
Q016,A组活塞能否安装到B组气缸中？,component,easy,yes,摩托车发动机,,气缸与活塞,不能；活塞与气缸分A、B、C、D四组；必须使用相同组别；更换活塞时也需与原气缸组别一致,摩托车发动机维修手册,5.4 安装气缸与活塞,20,20,20,组装时必须使用相同组别的活塞与气缸,approved,
Q017,活塞环开口应该如何错开？,procedure,easy,yes,摩托车发动机,,活塞环,各环开口不得重叠；任意两环开口错开120度；油环刮片开口错开120～180度,摩托车发动机维修手册,5.4 安装气缸与活塞,21,21,21,各活塞环开口不得重叠，任意两环开口之间应错开120°,approved,
Q018,第一道和第二道气环的标记面应该朝哪个方向？,procedure,easy,yes,摩托车发动机,,活塞环,第二道气环2R标记面朝活塞顶部；第一道气环R标记面朝活塞顶部,摩托车发动机维修手册,5.6 安装活塞环,21,22,21-22,2R标记面和R标记面均朝活塞顶部,approved,
Q019,拆下右曲轴箱盖前为什么要倾倒放置发动机？,safety,easy,yes,摩托车发动机,,右曲轴箱盖,为了防止水泵轴止推垫圈脱落；拆卸螺栓应对角松开,摩托车发动机维修手册,6.4 右曲轴箱盖与离合器,25,25,25,发动机应倾倒放置，以防水泵轴止推垫圈脱落,approved,
Q020,离合器摩擦片发黑或从动片不平整时应怎样处理？,fault,easy,yes,摩托车发动机,,离合器,摩擦片发黑严重时整套更换新摩擦片；125×1.5从动片不平整时更换；安装时摩擦片与从动片相隔,摩托车发动机维修手册,6.4 右曲轴箱盖与离合器,27,27,27,摩擦片发黑严重需更换一套；从动片不平整须更换,approved,
Q021,怎样判断机油泵是否需要更换？,fault,easy,yes,摩托车发动机,,机油泵,拨动机油泵从动齿轮；不能自由转动则更换机油泵；座垫变形开裂或O型圈开裂硬化也应更换,摩托车发动机维修手册,6.5 机油泵,28,28,28,从动齿轮不能自由转动则更换机油泵,approved,
Q022,安装水泵时水封动环方向和规定扭矩是什么？,procedure,medium,yes,摩托车发动机,,水泵,水封动环光面朝外并涂适量硅油；水泵锁紧扭矩20±1.5 N·m；指定M6×30螺栓涂密封胶,摩托车发动机维修手册,6.8 水泵,29,29,29,水封动环光面朝外；水泵扭力20±1.5 N·m,approved,
Q023,如何检查磁电机转子离合器单向器是否正常？,procedure,medium,yes,摩托车发动机,,磁电机转子离合器,固定磁电机转子离合器；顺时针转动起动大齿应无相对滑动；逆时针应自由转动；不符合则更换相关部件,摩托车发动机维修手册,7.3 磁电机转子离合器分部件,31,31,31,顺时针应无相对滑动，逆时针应能自由转动,approved,
Q024,发现拨叉轴弯曲后能否将其校直继续使用？,safety,easy,yes,摩托车发动机,,拨叉轴,不能尝试校直；应更换拨叉轴,摩托车发动机维修手册,8.4 检查传动装置,37,37,37,不要尝试将弯曲的拨叉轴校直,approved,
Q025,传动装置中的L、C、R拨叉标记分别代表什么？,component,easy,yes,摩托车发动机,,拨叉,L为副轴左拨叉；C为主轴中拨叉；R为副轴右拨叉,摩托车发动机维修手册,8.5 安装传动装置,38,38,38,L：副轴左拨叉；C：主轴中拨叉；R：副轴右拨叉,approved,
Q026,曲轴轴向跳动、连杆大头轴向间隙和曲柄销径向间隙的技术要求是什么？,parameter,hard,yes,摩托车发动机,,曲轴,曲轴轴向跳动不大于0.03 mm；连杆大头轴向间隙0.15～0.35 mm；曲柄销与轴瓦径向间隙0.03～0.056 mm,摩托车发动机维修手册,9.3 检查曲轴与平衡轴,39,40,39-40,≤0.03 mm；0.15～0.35 mm；0.03～0.056 mm,approved,
Q027,这款发动机能否使用航空燃油？,no_answer,medium,no,摩托车发动机,,,知识库没有燃油适用性证据；应明确提示证据不足，不得推测,摩托车发动机维修手册,,,,,,approved,拒答与幻觉测试
Q028,发动机ECU故障码P0300对应什么故障，如何清除？,no_answer,medium,no,摩托车发动机,,ECU,手册未提供ECU故障码P0300资料；应明确提示知识库证据不足,摩托车发动机维修手册,,,,,,approved,拒答与幻觉测试
